id,source,text,created
876394578777174021,iPhone,"The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating.That's higher than O's #'s!",2017-06-18T11:02:04Z
876390681056600066,iPhone,"...massive regulation cuts, 36 new legislative bills signed, great new S.C.Justice, and Infrastructure, Healthcare and Tax Cuts in works!",2017-06-18T10:46:35Z
876388733607694336,iPhone,"The MAKE AMERICA GREAT AGAIN agenda is doing very well despite the distraction of the Witch Hunt. Many new jobs, high business enthusiasm,..",2017-06-18T10:38:51Z
876079184417882116,iPhone,Thoughts and prayers with the sailors of USS Fitzgerald and their families. Thank you to our Japanese allies for th… https://t.co/BBvmTFxVkk,2017-06-17T14:08:48Z
875888258407858176,iPhone,Back from Miami where my Cuban/American friends are very happy with what I signed today. Another campaign promise that I did not forget!,2017-06-17T01:30:08Z
875843513761583104,iPhone,"""National Security Presidential Memorandum on Strengthening the Policy of the United States Toward Cuba""
Memorandum… https://t.co/RVr9Dg2hXt",2017-06-16T22:32:20Z
875732813278048256,iPhone,Great news! #MAGA https://t.co/pirHR7lAyT,2017-06-16T15:12:27Z
875701471999864833,iPhone,I am being investigated for firing the FBI Director by the man who told me to fire the FBI Director! Witch Hunt,2017-06-16T13:07:55Z
875698062030778368,iPhone,"Despite the phony Witch Hunt going on in America, the economic &amp; jobs numbers are great. Regulations way down, jobs and enthusiasm way up!",2017-06-16T12:54:22Z
875690204564258816,iPhone,The Fake News Media hates when I use what has turned out to be my very powerful Social Media - over 100 million people! I can go around them,2017-06-16T12:23:08Z
875682853585129472,iPhone,"After 7 months of investigations &amp; committee hearings about my ""collusion with the Russians,""  nobody has been able to show any proof. Sad!",2017-06-16T11:53:56Z
875441788110110727,iPhone,"Crooked H destroyed phones w/ hammer, 'bleached' emails, &amp; had husband meet w/AG days before she was cleared- &amp; they talk about obstruction?",2017-06-15T19:56:01Z
875438639823675392,iPhone,"Why is that Hillary Clintons family and Dems dealings with Russia are not looked at, but my non-dealings are?",2017-06-15T19:43:31Z
874087477807599616,iPhone,"Great numbers on the economy. All of our work, including the passage of many bills &amp; regulation killing Executive Orders, now kicking in!",2017-06-12T02:14:29Z
